% Photon Flux for hotspot on a NS. 
% R_sp = 11.6129 km; % R_eq = 12 km; % M = 1.4 Msun; % Spin = 600 Hz 
% Gravitational redshift 1+z = 1.24626
% Inclination angle = 90 degrees 
% Emission angle = 90 degrees 
% Angular radius of spot = 1 radians 
% Number of spot bins = 5 
% Distance to NS = 3.08568e+20 m 
% Phase shift or time lag = 0 

% Spot temperature, (star's frame) kT = 2 keV 
% Isotropic Emission 
% Flux not normalized 
%
% Column 1: phase bins (0 to 1)
% Column2: Integrated Number flux (photons/(cm^2 s) measured between energy (at infinity) of 0.3 keV and 0.6 keV
% Column3: Integrated Number flux (photons/(cm^2 s) measured between energy (at infinity) of 0.6 keV and 0.9 keV
% Column4: Integrated Number flux (photons/(cm^2 s) measured between energy (at infinity) of 0.9 keV and 1.2 keV
% Column5: Integrated Number flux (photons/(cm^2 s) measured between energy (at infinity) of 1.2 keV and 1.5 keV
% Column6: Integrated Number flux (photons/(cm^2 s) measured between energy (at infinity) of 1.5 keV and 1.8 keV
%
0	0.0218824	0.001	0.0331606	0.001	0.0420115	0.001	0.0487134	0.001	0.0535332	0.001	0
0.0625	0.0193884	0.001	0.0292504	0.001	0.0368817	0.001	0.0425509	0.001	0.0465152	0.001	1
0.125	0.0157465	0.001	0.0236554	0.001	0.0296916	0.001	0.0340912	0.001	0.037079	0.001	2
0.1875	0.0115947	0.001	0.0173562	0.001	0.0217016	0.001	0.024816	0.001	0.0268753	0.001	3
0.25	0.00753919	0.001	0.0112557	0.001	0.0140338	0.001	0.0159994	0.001	0.017272	0.001	4
0.3125	0.00401365	0.001	0.00598272	0.001	0.00744668	0.001	0.00847437	0.001	0.00913102	0.001	5
0.375	0.00170139	0.001	0.00253334	0.001	0.00314959	0.001	0.00357985	0.001	0.00385226	0.001	6
0.4375	0.00043255	0.001	0.000644231	0.001	0.000801178	0.001	0.000910916	0.001	0.000980566	0.001	7
0.5	0	0.001	0	0.001	0	0.001	0	0.001	0	0.001	8
0.5625	0.000175059	0.001	0.000270007	0.001	0.000348537	0.001	0.000412148	0.001	0.000462295	0.001	9
0.625	0.00195801	0.001	0.00301167	0.001	0.00387628	0.001	0.00456978	0.001	0.00510956	0.001	10
0.6875	0.005959	0.001	0.0091585	0.001	0.011778	0.001	0.013873	0.001	0.0154974	0.001	11
0.75	0.0112567	0.001	0.017276	0.001	0.0221837	0.001	0.0260884	0.001	0.0290952	0.001	12
0.8125	0.0166679	0.001	0.0255285	0.001	0.0327098	0.001	0.0383802	0.001	0.0427028	0.001	13
0.875	0.0208014	0.001	0.0317705	0.001	0.0405873	0.001	0.0474759	0.001	0.0526528	0.001	14
0.9375	0.022526	0.001	0.0342801	0.001	0.0436254	0.001	0.0508242	0.001	0.0561295	0.001	15
